order_id,order_date,customer_id,country,city,channel,product_id,category,subcategory,unit_price,quantity,discount,revenue,cost
O18,2024-09-22 00:00:00,C11254,Sweden,Malmö,Web,P1125,Home,Decor,389.28,1,0.0,389.28,271.88
O18,2024-09-22 00:00:00,C11254,Sweden,Malmö,Web,P1067,Electronics,Audio,1022.71,2,0.0,2045.42,1424.91
O19,2024-08-17 00:00:00,C11305,Netherlands,Amsterdam,Web,P1314,Beauty,Haircare,906.75,3,0.17,2270.64,1623.02
O19,2024-08-17 00:00:00,C11305,Netherlands,Amsterdam,Web,P1317,Beauty,Haircare,200.42,1,0.0,200.42,112.82
O20,2024-06-26 00:00:00,C10005,Canada,Calgary,Marketplace,P1219,Sports,Outdoor,1295.4,1,0.0,1295.4,978.3
O20,2024-06-26 00:00:00,C10005,Canada,Calgary,Marketplace,P1193,Fashion,Accessories,754.86,2,0.0,1509.72,900.94
O21,2023-04-28 00:00:00,C10112,Germany,Cologne,Mobile App,P1000,Electronics,Phones,345.58,2,0.24,521.92,389.09
O21,2023-04-28 00:00:00,C10112,Germany,Cologne,Mobile App,P1177,Fashion,Women,638.79,3,0.0,1916.36,1434.53
O21,2023-04-28 00:00:00,C10112,Germany,Cologne,Mobile App,P1094,Home,Furniture,843.37,3,0.0,2530.1,1985.08
O22,2024-08-10 00:00:00,C10917,Germany,Berlin,Mobile App,P1266,Beauty,Skincare,969.76,2,0.09,1768.77,1320.37
O23,2023-05-12 00:00:00,C11318,Sweden,Stockholm,Mobile App,P1287,Beauty,Makeup,687.91,2,0.0,1375.81,888.74
O23,2023-05-12 00:00:00,C11318,Sweden,Stockholm,Mobile App,P1308,Beauty,Haircare,924.84,2,0.0,1849.68,1307.59
O24,2024-07-07 00:00:00,C10922,USA,Chicago,Mobile App,P1037,Electronics,Laptops,161.09,3,0.05,460.85,356.97
O25,2023-04-28 00:00:00,C11719,France,Paris,Web,P1156,Fashion,Men,813.15,2,0.0,1626.3,1124.39
O25,2023-04-28 00:00:00,C11719,France,Paris,Web,P1281,Beauty,Makeup,422.76,1,0.04,405.62,274.88
O25,2023-04-28 00:00:00,C11719,France,Paris,Web,P1302,Beauty,Haircare,738.41,3,0.11,1974.91,1546.77
O26,2023-12-22 00:00:00,C10126,France,Paris,Marketplace,P1091,Home,Furniture,777.94,1,0.0,777.94,464.1
O26,2023-12-22 00:00:00,C10126,France,Paris,Marketplace,P1312,Beauty,Haircare,30.63,1,0.02,30.16,22.54
O27,2023-07-21 00:00:00,C10574,Netherlands,Amsterdam,Mobile App,P1089,Home,Furniture,693.38,2,0.0,1386.75,919.49
O28,2023-06-28 00:00:00,C10709,Brazil,São Paulo,Mobile App,P1160,Fashion,Women,482.35,2,0.0,964.71,762.38
O29,2023-05-28 00:00:00,C10560,Australia,Brisbane,Marketplace,P1256,Sports,Athleisure,1028.39,1,0.0,1028.39,686.0
O29,2023-05-28 00:00:00,C10560,Australia,Brisbane,Marketplace,P1304,Beauty,Haircare,1022.06,1,0.0,1022.06,706.46
O29,2023-05-28 00:00:00,C10560,Australia,Brisbane,Marketplace,P1017,Electronics,Phones,580.81,2,0.0,1161.61,861.15
O30,2024-10-05 00:00:00,C11666,Brazil,São Paulo,Web,P1161,Fashion,Women,869.45,1,0.0,869.45,484.09
O30,2024-10-05 00:00:00,C11666,Brazil,São Paulo,Web,P1246,Sports,Athleisure,618.63,1,0.0,618.63,432.28
O31,2023-08-27 00:00:00,C11006,Germany,Hamburg,Mobile App,P1290,Beauty,Makeup,50.58,3,0.0,151.73,94.57
O31,2023-08-27 00:00:00,C11006,Germany,Hamburg,Mobile App,P1006,Electronics,Phones,95.35,3,0.0,286.04,222.44
O32,2024-06-06 00:00:00,C10395,UK,Bristol,Mobile App,P1292,Beauty,Makeup,1133.04,2,0.12,2000.78,1699.48
O33,2023-04-25 00:00:00,C11382,Netherlands,Rotterdam,Mobile App,P1245,Sports,Athleisure,1109.52,2,0.0,2219.05,1603.94
O34,2023-03-16 00:00:00,C11379,UK,Leeds,Web,P1033,Electronics,Laptops,1307.09,3,0.07,3654.92,2745.39
O35,2024-03-30 00:00:00,C10701,USA,San Francisco,Web,P1045,Electronics,Accessories,822.18,1,0.03,801.1,576.17
O35,2024-03-30 00:00:00,C10701,USA,San Francisco,Web,P1281,Beauty,Makeup,463.18,1,0.0,463.18,338.3
O36,2023-08-15 00:00:00,C10757,UK,Bristol,Mobile App,P1068,Electronics,Audio,96.87,1,0.0,96.87,57.2
O36,2023-08-15 00:00:00,C10757,UK,Bristol,Mobile App,P1243,Sports,Athleisure,336.32,1,0.0,336.32,249.79
O37,2024-05-15 00:00:00,C10060,Netherlands,Amsterdam,Web,P1103,Home,Kitchen,706.29,1,0.0,706.29,529.62
O37,2024-05-15 00:00:00,C10060,Netherlands,Amsterdam,Web,P1171,Fashion,Women,27.09,1,0.12,23.86,21.41
O37,2024-05-15 00:00:00,C10060,Netherlands,Amsterdam,Web,P1016,Electronics,Phones,393.27,2,0.0,786.54,591.19
O38,2024-04-29 00:00:00,C11291,Australia,Sydney,Marketplace,P1058,Electronics,Accessories,69.67,2,0.0,139.33,108.86
O38,2024-04-29 00:00:00,C11291,Australia,Sydney,Marketplace,P1281,Beauty,Makeup,439.83,2,0.0,879.65,697.36
O38,2024-04-29 00:00:00,C11291,Australia,Sydney,Marketplace,P1214,Sports,Outdoor,830.06,2,0.0,1660.12,1129.89
O39,2024-09-06 00:00:00,C11121,Brazil,Brasília,Mobile App,P1292,Beauty,Makeup,1014.91,2,0.0,2029.82,1452.16
O39,2024-09-06 00:00:00,C11121,Brazil,Brasília,Mobile App,P1209,Sports,Outdoor,243.3,3,0.0,729.9,582.16
O39,2024-09-06 00:00:00,C11121,Brazil,Brasília,Mobile App,P1250,Sports,Athleisure,332.83,5,0.0,1664.14,1176.34
O40,2024-03-15 00:00:00,C11382,Netherlands,Rotterdam,Web,P1064,Electronics,Audio,292.35,1,0.0,292.35,177.86
O41,2024-10-26 00:00:00,C10584,USA,Seattle,Marketplace,P1304,Beauty,Haircare,736.27,1,0.0,736.27,551.83
O41,2024-10-26 00:00:00,C10584,USA,Seattle,Marketplace,P1197,Fashion,Accessories,1000.56,6,0.0,6003.37,4548.51
O41,2024-10-26 00:00:00,C10584,USA,Seattle,Marketplace,P1106,Home,Kitchen,450.71,1,0.09,409.33,254.41
O42,2023-02-16 00:00:00,C11776,USA,New York,Marketplace,P1177,Fashion,Women,554.08,4,0.0,2216.34,1238.31
O43,2024-08-02 00:00:00,C10951,Canada,Vancouver,Mobile App,P1122,Home,Decor,420.09,1,0.0,420.09,288.9
O43,2024-08-02 00:00:00,C10951,Canada,Vancouver,Mobile App,P1225,Sports,Fitness,349.17,2,0.0,698.34,470.66
O43,2024-08-02 00:00:00,C10951,Canada,Vancouver,Mobile App,P1036,Electronics,Laptops,223.49,2,0.0,446.99,312.04
O44,2023-11-19 00:00:00,C11772,Brazil,Rio de Janeiro,Mobile App,P1261,Beauty,Skincare,1105.37,2,0.0,2210.75,1347.83
O45,2023-06-19 00:00:00,C10556,Australia,Brisbane,Retail Store,P1248,Sports,Athleisure,991.82,1,0.0,991.82,577.46
O45,2023-06-19 00:00:00,C10556,Australia,Brisbane,Retail Store,P1157,Fashion,Men,804.89,1,0.0,804.89,481.55
O46,2024-06-08 00:00:00,C11246,USA,New York,Mobile App,P1187,Fashion,Accessories,757.44,1,0.0,757.44,440.91
O46,2024-06-08 00:00:00,C11246,USA,New York,Mobile App,P1073,Electronics,Audio,898.7,3,0.0,2696.1,2002.43
O47,2023-11-20 00:00:00,C10704,Australia,Sydney,Mobile App,P1119,Home,Kitchen,699.9,1,0.0,699.9,555.28
O47,2023-11-20 00:00:00,C10704,Australia,Sydney,Mobile App,P1284,Beauty,Makeup,816.15,3,0.02,2403.0,1847.83
O48,2024-04-03 00:00:00,C11308,Sweden,Gothenburg,Web,P1098,Home,Furniture,34.08,1,0.0,34.08,19.45
O49,2023-03-25 00:00:00,C11463,Germany,Berlin,Marketplace,P1020,Electronics,Laptops,842.41,5,0.1,3792.6,2527.61
O50,2024-06-07 00:00:00,C11628,Brazil,Rio de Janeiro,Web,P1007,Electronics,Phones,1071.43,4,0.11,3813.4,3210.58
O51,2023-06-02 00:00:00,C11763,India,Mumbai,Mobile App,P1165,Fashion,Women,1110.79,1,0.0,1110.79,701.44
O52,2024-01-21 00:00:00,C10720,Brazil,Brasília,Marketplace,P1273,Beauty,Skincare,1251.38,4,0.0,5005.51,2935.64
O53,2024-08-10 00:00:00,C10672,Australia,Melbourne,Web,P1241,Sports,Athleisure,973.12,2,0.11,1733.68,1346.58
O53,2024-08-10 00:00:00,C10672,Australia,Melbourne,Web,P1173,Fashion,Women,267.74,2,0.0,535.49,421.9
O54,2023-11-13 00:00:00,C11382,Australia,Sydney,Marketplace,P1040,Electronics,Accessories,185.9,4,0.0,743.62,493.08
O54,2023-11-13 00:00:00,C11382,Australia,Sydney,Marketplace,P1002,Electronics,Phones,1103.85,1,0.06,1033.39,770.84
O54,2023-11-13 00:00:00,C11382,Australia,Sydney,Marketplace,P1011,Electronics,Phones,1083.81,2,0.0,2167.62,1374.76
O55,2024-09-22 00:00:00,C11617,India,Hyderabad,Mobile App,P1210,Sports,Outdoor,637.39,4,0.0,2549.58,1955.7
O55,2024-09-22 00:00:00,C11617,India,Hyderabad,Mobile App,P1158,Fashion,Men,219.51,4,0.0,878.03,602.18
O56,2024-08-30 00:00:00,C11535,France,Lyon,Mobile App,P1261,Beauty,Skincare,1165.56,3,0.14,3016.78,2129.29
O56,2024-08-30 00:00:00,C11535,France,Lyon,Mobile App,P1281,Beauty,Makeup,484.72,2,0.05,922.71,593.11
O57,2024-01-16 00:00:00,C10129,Brazil,Brasília,Web,P1144,Fashion,Men,406.94,2,0.0,813.89,474.27
O57,2024-01-16 00:00:00,C10129,Brazil,Brasília,Web,P1300,Beauty,Haircare,63.91,1,0.0,63.91,42.21
O57,2024-01-16 00:00:00,C10129,Brazil,Brasília,Web,P1079,Electronics,Audio,166.74,3,0.16,422.66,296.01
O58,2023-10-11 00:00:00,C10164,Canada,Montreal,Mobile App,P1119,Home,Kitchen,648.18,3,0.04,1857.06,1327.72
O59,2023-01-20 00:00:00,C11780,India,Delhi,Mobile App,P1160,Fashion,Women,470.93,1,0.11,417.17,312.55
O59,2023-01-20 00:00:00,C11780,India,Delhi,Mobile App,P1177,Fashion,Women,505.87,2,0.0,1011.74,604.1
O59,2023-01-20 00:00:00,C11780,India,Delhi,Mobile App,P1263,Beauty,Skincare,702.52,1,0.0,702.52,558.26
O60,2024-03-02 00:00:00,C11671,UK,Manchester,Mobile App,P1231,Sports,Fitness,496.94,1,0.0,496.94,387.45
O60,2024-03-02 00:00:00,C11671,UK,Manchester,Mobile App,P1000,Electronics,Phones,476.39,2,0.0,952.77,762.08
O60,2024-03-02 00:00:00,C11671,UK,Manchester,Mobile App,P1062,Electronics,Audio,883.49,5,0.0,4417.44,2875.91
O61,2024-05-08 00:00:00,C11617,Australia,Brisbane,Retail Store,P1278,Beauty,Skincare,683.29,2,0.0,1366.57,989.22
O62,2024-08-27 00:00:00,C10101,USA,New York,Web,P1266,Beauty,Skincare,846.9,3,0.0,2540.69,1701.74
O62,2024-08-27 00:00:00,C10101,USA,New York,Web,P1116,Home,Kitchen,729.99,1,0.13,635.95,488.49
O63,2023-02-12 00:00:00,C10363,India,Bengaluru,Mobile App,P1020,Electronics,Laptops,757.03,1,0.0,757.03,586.32
O63,2023-02-12 00:00:00,C10363,India,Bengaluru,Mobile App,P1280,Beauty,Makeup,994.25,2,0.0,1988.5,1400.57
O63,2023-02-12 00:00:00,C10363,India,Bengaluru,Mobile App,P1051,Electronics,Accessories,872.64,4,0.0,3490.57,2268.79
O64,2024-08-11 00:00:00,C11286,Sweden,Stockholm,Mobile App,P1107,Home,Kitchen,930.99,1,0.0,930.99,571.76
O64,2024-08-11 00:00:00,C11286,Sweden,Stockholm,Mobile App,P1035,Electronics,Laptops,835.34,1,0.0,835.34,537.44
O64,2024-08-11 00:00:00,C11286,Sweden,Stockholm,Mobile App,P1172,Fashion,Women,781.94,5,0.0,3909.7,2971.24
O65,2024-08-06 00:00:00,C11603,USA,San Francisco,Web,P1151,Fashion,Men,393.46,3,0.0,1180.38,698.79
O65,2024-08-06 00:00:00,C11603,USA,San Francisco,Web,P1107,Home,Kitchen,1076.1,2,0.0,2152.2,1477.86
O66,2024-10-11 00:00:00,C11343,Netherlands,Rotterdam,Web,P1262,Beauty,Skincare,219.73,2,0.0,439.46,317.77
O66,2024-10-11 00:00:00,C11343,Netherlands,Rotterdam,Web,P1279,Beauty,Skincare,1190.74,1,0.09,1083.78,736.52
O66,2024-10-11 00:00:00,C11343,Netherlands,Rotterdam,Web,P1035,Electronics,Laptops,887.18,1,0.0,887.18,538.22
O67,2024-02-29 00:00:00,C11665,France,Paris,Mobile App,P1026,Electronics,Laptops,209.92,2,0.0,419.84,255.14
O68,2023-02-27 00:00:00,C11195,Australia,Melbourne,Web,P1101,Home,Kitchen,653.3,3,0.0,1959.91,1340.49
O68,2023-02-27 00:00:00,C11195,Australia,Melbourne,Web,P1157,Fashion,Men,1002.84,2,0.0,2005.69,1501.98
O69,2024-10-17 00:00:00,C10629,India,Hyderabad,Marketplace,P1247,Sports,Athleisure,1183.56,4,0.0,4734.25,3529.42
O70,2024-05-23 00:00:00,C10748,France,Paris,Web,P1257,Sports,Athleisure,819.11,3,0.0,2457.32,1720.49
O70,2024-05-23 00:00:00,C10748,France,Paris,Web,P1310,Beauty,Haircare,373.15,1,0.0,373.15,251.98
O71,2024-07-14 00:00:00,C11181,Australia,Melbourne,Mobile App,P1157,Fashion,Men,841.25,1,0.14,727.44,467.5
O71,2024-07-14 00:00:00,C11181,Australia,Melbourne,Mobile App,P1129,Home,Decor,708.7,2,0.0,1417.41,983.38
O72,2023-09-10 00:00:00,C10832,USA,Chicago,Mobile App,P1309,Beauty,Haircare,253.47,5,0.0,1267.37,722.39
O72,2023-09-10 00:00:00,C10832,USA,Chicago,Mobile App,P1011,Electronics,Phones,1170.5,2,0.0,2340.99,1544.77
O73,2024-03-22 00:00:00,C10286,UK,Leeds,Web,P1004,Electronics,Phones,200.02,2,0.0,400.05,318.4
O73,2024-03-22 00:00:00,C10286,UK,Leeds,Web,P1082,Home,Furniture,383.35,1,0.0,383.35,236.28
O73,2024-03-22 00:00:00,C10286,UK,Leeds,Web,P1262,Beauty,Skincare,136.03,1,0.0,136.03,96.04
O74,2023-05-04 00:00:00,C11651,India,Bengaluru,Web,P1061,Electronics,Audio,378.47,2,0.0,756.95,449.79
O74,2023-05-04 00:00:00,C11651,India,Bengaluru,Web,P1085,Home,Furniture,420.01,2,0.0,840.02,605.02
O74,2023-05-04 00:00:00,C11651,India,Bengaluru,Web,P1064,Electronics,Audio,337.99,3,0.15,866.2,625.08
O75,2024-01-30 00:00:00,C10509,France,Marseille,Web,P1051,Electronics,Accessories,871.55,2,0.0,1743.1,1333.28
O75,2024-01-30 00:00:00,C10509,France,Marseille,Web,P1041,Electronics,Accessories,660.2,5,0.0,3300.99,1847.26
O76,2023-08-20 00:00:00,C10725,India,Bengaluru,Web,P1078,Electronics,Audio,404.62,3,0.0,1213.86,802.14
O77,2023-01-08 00:00:00,C11408,Brazil,São Paulo,Mobile App,P1151,Fashion,Men,261.04,1,0.0,261.04,208.28
O78,2024-03-11 00:00:00,C10562,Germany,Hamburg,Retail Store,P1260,Beauty,Skincare,489.05,2,0.0,978.09,558.15
O78,2024-03-11 00:00:00,C10562,Germany,Hamburg,Retail Store,P1219,Sports,Outdoor,885.79,4,0.0,3543.17,2010.09
O78,2024-03-11 00:00:00,C10562,Germany,Hamburg,Retail Store,P1216,Sports,Outdoor,358.89,1,0.0,358.89,285.31
O79,2024-01-09 00:00:00,C11311,Canada,Calgary,Mobile App,P1010,Electronics,Phones,30.21,1,0.11,26.74,19.46
O79,2024-01-09 00:00:00,C11311,Canada,Calgary,Mobile App,P1123,Home,Decor,145.41,1,0.06,136.09,98.01
O80,2023-04-23 00:00:00,C11245,Canada,Montreal,Mobile App,P1038,Electronics,Laptops,887.6,4,0.0,3550.41,2599.34
O80,2023-04-23 00:00:00,C11245,Canada,Montreal,Mobile App,P1134,Home,Decor,1286.47,1,0.0,1286.47,881.09
O80,2023-04-23 00:00:00,C11245,Canada,Montreal,Mobile App,P1268,Beauty,Skincare,403.08,1,0.0,403.08,272.67
O81,2023-03-29 00:00:00,C11376,Australia,Brisbane,Retail Store,P1190,Fashion,Accessories,123.74,1,0.09,112.47,95.19
O81,2023-03-29 00:00:00,C11376,Australia,Brisbane,Retail Store,P1228,Sports,Fitness,1204.7,1,0.0,1204.7,961.29
O81,2023-03-29 00:00:00,C11376,Australia,Brisbane,Retail Store,P1103,Home,Kitchen,685.26,2,0.0,1370.52,964.5
O82,2023-03-07 00:00:00,C10313,Netherlands,Rotterdam,Retail Store,P1011,Electronics,Phones,1084.88,3,0.09,2958.87,2503.34
O82,2023-03-07 00:00:00,C10313,Netherlands,Rotterdam,Retail Store,P1100,Home,Kitchen,56.01,1,0.0,56.01,33.85
O83,2023-06-03 00:00:00,C10870,Australia,Sydney,Web,P1201,Sports,Outdoor,120.36,3,0.0,361.07,242.0
O84,2024-06-09 00:00:00,C11078,Brazil,São Paulo,Mobile App,P1023,Electronics,Laptops,520.62,3,0.0,1561.86,1135.35
O84,2024-06-09 00:00:00,C11078,Brazil,São Paulo,Mobile App,P1191,Fashion,Accessories,972.73,2,0.0,1945.47,1184.72
O85,2024-09-19 00:00:00,C10400,Netherlands,Rotterdam,Mobile App,P1259,Sports,Athleisure,131.37,1,0.0,131.37,104.42
O85,2024-09-19 00:00:00,C10400,Netherlands,Rotterdam,Mobile App,P1258,Sports,Athleisure,633.87,1,0.0,633.87,430.73
O86,2024-07-16 00:00:00,C10921,Germany,Munich,Retail Store,P1068,Electronics,Audio,110.14,2,0.0,220.29,147.76
O86,2024-07-16 00:00:00,C10921,Germany,Munich,Retail Store,P1069,Electronics,Audio,1202.15,1,0.0,1202.15,663.29
O86,2024-07-16 00:00:00,C10921,Germany,Munich,Retail Store,P1296,Beauty,Makeup,1032.73,1,0.06,970.54,814.98
O87,2024-02-12 00:00:00,C10902,Sweden,Gothenburg,Web,P1219,Sports,Outdoor,1208.41,3,0.0,3625.22,2236.89
O87,2024-02-12 00:00:00,C10902,Sweden,Gothenburg,Web,P1300,Beauty,Haircare,50.61,1,0.0,50.61,31.82
O87,2024-02-12 00:00:00,C10902,Sweden,Gothenburg,Web,P1006,Electronics,Phones,83.29,1,0.1,74.56,48.47
O88,2023-07-18 00:00:00,C10895,Sweden,Gothenburg,Web,P1312,Beauty,Haircare,50.35,2,0.0,100.7,60.2
O88,2023-07-18 00:00:00,C10895,Sweden,Gothenburg,Web,P1304,Beauty,Haircare,803.01,3,0.02,2360.55,1476.12
O89,2023-11-23 00:00:00,C11596,India,Mumbai,Mobile App,P1027,Electronics,Laptops,544.73,1,0.0,544.73,362.02
O90,2024-07-30 00:00:00,C11135,Canada,Toronto,Marketplace,P1065,Electronics,Audio,664.28,1,0.0,664.28,441.78
O91,2023-03-27 00:00:00,C10570,Brazil,Brasília,Mobile App,P1098,Home,Furniture,36.35,1,0.0,36.35,21.49
O91,2023-03-27 00:00:00,C10570,Brazil,Brasília,Mobile App,P1067,Electronics,Audio,848.97,2,0.0,1697.95,1307.24
O92,2024-08-26 00:00:00,C10880,Netherlands,Rotterdam,Retail Store,P1065,Electronics,Audio,664.01,1,0.0,664.01,447.84
O92,2024-08-26 00:00:00,C10880,Netherlands,Rotterdam,Retail Store,P1261,Beauty,Skincare,946.24,2,0.11,1681.11,1129.2
O92,2024-08-26 00:00:00,C10880,Netherlands,Rotterdam,Retail Store,P1007,Electronics,Phones,999.73,2,0.0,1999.45,1498.55
O93,2024-07-12 00:00:00,C10467,Brazil,Rio de Janeiro,Web,P1267,Beauty,Skincare,869.16,1,0.23,670.94,485.29
O93,2024-07-12 00:00:00,C10467,Brazil,Rio de Janeiro,Web,P1007,Electronics,Phones,925.88,2,0.0,1851.76,1426.98
O94,2024-06-07 00:00:00,C11132,India,Hyderabad,Marketplace,P1020,Electronics,Laptops,760.65,5,0.0,3803.25,2180.24
O94,2024-06-07 00:00:00,C11132,India,Hyderabad,Marketplace,P1195,Fashion,Accessories,447.17,2,0.0,894.33,675.01
O94,2024-06-07 00:00:00,C11132,India,Hyderabad,Marketplace,P1133,Home,Decor,393.51,2,0.0,787.03,523.23
O95,2023-08-14 00:00:00,C10985,Germany,Cologne,Web,P1155,Fashion,Men,256.81,1,0.02,251.01,170.16
O96,2023-11-10 00:00:00,C11685,Netherlands,Utrecht,Mobile App,P1107,Home,Kitchen,1072.02,3,0.0,3216.07,1824.83
O97,2024-03-29 00:00:00,C10854,France,Paris,Retail Store,P1066,Electronics,Audio,191.4,2,0.0,382.8,293.91
O97,2024-03-29 00:00:00,C10854,France,Paris,Retail Store,P1038,Electronics,Laptops,846.44,1,0.0,846.44,603.25
O97,2024-03-29 00:00:00,C10854,France,Paris,Retail Store,P1133,Home,Decor,480.14,2,0.0,960.28,659.38
O98,2024-06-30 00:00:00,C10855,France,Paris,Web,P1153,Fashion,Men,581.75,1,0.0,581.75,461.44
O98,2024-06-30 00:00:00,C10855,France,Paris,Web,P1274,Beauty,Skincare,531.71,1,0.0,531.71,402.69
O99,2024-05-22 00:00:00,C11460,France,Lyon,Web,P1163,Fashion,Women,645.68,1,0.13,564.32,403.76
O100,2023-07-22 00:00:00,C10221,Germany,Berlin,Web,P1195,Fashion,Accessories,406.21,1,0.0,406.21,312.5
O101,2024-09-28 00:00:00,C11278,Australia,Sydney,Marketplace,P1015,Electronics,Phones,203.13,2,0.0,406.25,307.88
O101,2024-09-28 00:00:00,C11278,Australia,Sydney,Marketplace,P1171,Fashion,Women,30.92,1,0.05,29.3,23.42
O101,2024-09-28 00:00:00,C11278,Australia,Sydney,Marketplace,P1215,Sports,Outdoor,320.48,1,0.0,320.48,182.85
O102,2024-03-13 00:00:00,C10604,Netherlands,Utrecht,Retail Store,P1231,Sports,Fitness,523.22,5,0.0,2616.12,1748.16
O102,2024-03-13 00:00:00,C10604,Netherlands,Utrecht,Retail Store,P1256,Sports,Athleisure,1260.01,1,0.0,1260.01,768.25
O103,2023-12-28 00:00:00,C10866,Netherlands,Amsterdam,Mobile App,P1290,Beauty,Makeup,47.73,2,0.0,95.46,72.89
O103,2023-12-28 00:00:00,C10866,Netherlands,Amsterdam,Mobile App,P1189,Fashion,Accessories,275.81,3,0.0,827.42,464.26
O104,2023-08-21 00:00:00,C11552,Brazil,São Paulo,Web,P1306,Beauty,Haircare,498.62,2,0.0,997.25,559.67
O105,2023-11-29 00:00:00,C10583,USA,Chicago,Mobile App,P1108,Home,Kitchen,288.49,4,0.02,1135.26,708.98
O106,2024-10-19 00:00:00,C10419,France,Lyon,Retail Store,P1146,Fashion,Men,901.48,3,0.01,2668.86,1924.28
O106,2024-10-19 00:00:00,C10419,France,Lyon,Retail Store,P1201,Sports,Outdoor,113.54,2,0.0,227.09,174.5
O107,2023-03-25 00:00:00,C10386,Canada,Vancouver,Mobile App,P1295,Beauty,Makeup,614.93,4,0.1,2206.05,1855.07
O107,2023-03-25 00:00:00,C10386,Canada,Vancouver,Mobile App,P1293,Beauty,Makeup,421.14,4,0.0,1684.58,1262.75
O108,2024-03-26 00:00:00,C11098,Netherlands,Utrecht,Web,P1312,Beauty,Haircare,48.59,1,0.15,41.28,28.74
O108,2024-03-26 00:00:00,C11098,Netherlands,Utrecht,Web,P1006,Electronics,Phones,94.67,1,0.27,69.48,60.13
